TCP packet | 203.0.113.45:12345 -> 10.0.0.5:3389 -> DENY
TCP packet | 203.0.113.45:12345 -> 10.0.0.5:3389 -> DENY
TCP packet | 198.51.100.77:12345 -> 10.0.5.5:80 -> ALLOW
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> ALLOW
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> ALLOW
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 192.168.100.30:12345 -> 45.79.123.45:4444 -> DENY
TCP packet | 192.168.100.30:12345 -> 45.79.123.45:4444 -> DENY
TCP packet | 198.51.100.77:12345 -> 10.0.5.5:80 -> ALLOW
TCP packet | 198.51.100.77:12345 -> 10.0.5.5:80 -> ALLOW
TCP packet | 172.16.5.200:12345 -> 1.1.1.1:80 -> ALLOW
TCP packet | 172.16.5.200:12345 -> 1.1.1.1:80 -> ALLOW
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
TCP packet | 198.18.0.50:12345 -> 10.0.0.5:80 -> DENY
